,OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu)
0,1,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927-01-01,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,7456910.0
1,2,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996-01-01,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,8664479.0
2,3,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969-01-01,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,43.0,73937112.0
3,5,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926-01-01,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,6946800.5
4,8,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980-01-01,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,75.0,14656503.0
5,9,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999-01-01,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,12581712.0
6,10,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926-01-01,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,6062767.5
7,11,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926-01-01,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,7067881.5
8,12,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904-01-01,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,43.0,14194054.0
10,15,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969-01-01,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,30.0,16646930.0
11,16,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998-01-01,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,36.0,27070114.0
12,17,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928-01-01,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,48.0,6358719.5
13,18,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980-01-01,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,58.0,22524948.0
14,19,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922-01-01,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,35.0,11179203.0
15,21,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004-01-01,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,,18706912.0
16,22,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930-01-01,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,,10192124.0
17,23,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983-01-01,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,31.0,34351920.0
18,24,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907-01-01,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,7877219.0
19,25,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916-01-01,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,39.0,10154608.0
20,26,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916-01-01,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,76.0,47023088.0
21,27,NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1985-01-01,1.0,19,385274,0,385274,Other,Other,385274.0,,49539212.0
23,29,NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,2001-01-01,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,3673186.75
24,30,NonResidential,University,7,DOWNTOWN,47.61816,-122.33629,1928-01-01,1.0,7,126593,0,126593,College/University,College/University,125000.0,,12183313.0
25,31,NonResidential,Other,7,DOWNTOWN,47.615,-122.33081,1930-01-01,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,1310236.625
26,32,NonResidential,Hotel,7,EAST,47.61301,-122.32929,1991-01-01,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,5424942.0
27,33,NonResidential,Hotel,7,DOWNTOWN,47.61784,-122.32966,2001-01-01,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,57.0,11171407.0
29,35,NonResidential,Hotel,7,DOWNTOWN,47.61558,-122.34186,1978-01-01,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,4557974.0
32,38,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6641,-122.33118,1906-01-01,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,4703690.0
33,40,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1994-01-01,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,6731281.5
34,41,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1955-01-01,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,326223.0938
36,46,NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,1961-01-01,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,,44110016.0
39,52,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1961-01-01,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,6536359.5
40,53,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1900-01-01,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,83.0,3150635.5
41,54,NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1954-01-01,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,95.0,7886505.5
42,55,NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1911-01-01,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,,2331573.25
43,56,NonResidential,Hotel,7,DOWNTOWN,47.60946,-122.33337,1969-01-01,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,67.0,16163194.0
44,57,NonResidential,Large Office,7,DOWNTOWN,47.6113,-122.33659,1973-01-01,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,78.0,9536161.0
45,58,NonResidential,Other,7,DOWNTOWN,47.61076,-122.33765,1920-01-01,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,,1239429.75
46,59,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61048,-122.33794,1910-01-01,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,14.0,5242479.5
47,60,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60886,-122.33744,1926-01-01,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,,15683742.0
48,62,NonResidential,Hotel,7,DOWNTOWN,47.61233,-122.33432,1930-01-01,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,71.0,5078816.0
49,63,NonResidential,Hotel,7,DOWNTOWN,47.61087,-122.33339,1982-01-01,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,63.0,82318072.0
50,65,NonResidential,Hotel,7,DOWNTOWN,47.60997,-122.34138,1985-01-01,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,98.0,5348309.0
51,66,NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1908-01-01,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,6088417.5
52,67,NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1959-01-01,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,86.0,5428403.5
53,68,NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,2000-01-01,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,84.0,6835263.5
54,69,NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1997-01-01,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,80.0,5941927.0
55,70,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998-01-01,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,81.0,6849826.5
56,73,NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1911-01-01,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,76.0,3800842.5
57,77,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999-01-01,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,94.0,5387530.0
58,82,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1962-01-01,1.0,2,54984,0,54984,Office,Office,54984.0,71.0,3630147.25
59,84,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1922-01-01,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,54.0,45547252.0
60,85,NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1970-01-01,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,1.0,16959754.0
61,86,NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,2008-01-01,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,74.0,3787499.0
63,89,NonResidential,Medical Office,3,EAST,47.61244,-122.3214,1965-01-01,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,48.0,16527711.0
64,95,NonResidential,Hotel,3,EAST,47.60898,-122.32693,1908-01-01,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,71.0,7250730.5
65,96,NonResidential,Mixed Use Property,3,EAST,47.60845,-122.32637,1983-01-01,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,,15684371.0
66,98,NonResidential,Retail Store,7,LAKE UNION,47.62237,-122.33805,1929-01-01,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,96.0,1243027.75
67,100,NonResidential,Large Office,7,LAKE UNION,47.62424,-122.33646,2010-01-01,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,96.0,13909270.0
68,102,NonResidential,Hotel,3,LAKE UNION,47.62642,-122.33325,1990-01-01,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,37.0,20194606.0
69,103,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962-01-01,1.0,1,389000,0,389000,Other,Other,368000.0,,23736924.0
70,104,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962-01-01,1.0,1,91213,0,91213,Other,Other,65000.0,,8181881.0
71,106,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938-01-01,1.0,5,396085,0,396085,Other,Other,278500.0,,21257836.0
72,107,NonResidential,Large Office,7,LAKE UNION,47.62112,-122.33629,2010-01-01,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,91.0,40153432.0
73,110,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962-01-01,1.0,2,52000,0,52000,Other,Other,52000.0,,2682242.75
74,111,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928-01-01,1.0,1,60696,0,60696,Other,Other,108000.0,,875943.3125
75,112,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928-01-01,1.0,2,262048,0,262048,Other,Other,296000.0,,20823520.0
76,113,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986-01-01,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,,4192107.75
77,114,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010-01-01,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,93.0,38105108.0
